English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Satyr Tragopan,Tragopan satyra,Moderate,Trend Inconclusive,Trend Inconclusive,Restricted,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,Tragopan satyra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Near Threatened,Schedule-I,,,,TRUE,TRUE,TRUE,-58.2,-32.5,6.3,-9.2,-3.7,1.7,10690,11070,11450,16,12,41,50,15,3,,,Moderate,Data Deficient,Data Deficient,Restricted
Blyth's Tragopan,Tragopan blythii,High,Insufficient Data,Insufficient Data,Very Restricted,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Tragopan blythii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Eastern Himalayas,FALSE,FALSE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,,TRUE,FALSE,FALSE,,,,,,,6530,6940,7350,8,12,46,75,10,4,,,High,Data Deficient,Data Deficient,Restricted
Temminck's Tragopan,Tragopan temminckii,High,Insufficient Data,Insufficient Data,Very Restricted,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,3670,3670,3670,4,,46,75,12,5,,,,,,
Himalayan Monal,Lophophorus impejanus,Low,Insufficient Data,Trend Inconclusive,Moderate,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-I,Appendix I,,,TRUE,FALSE,TRUE,,,,-6.2,-3.9,-1.6,63600,63950,64300,108,12,29,43,10,1,,,Low,Data Deficient,Uncertain,Moderate
Sclater's Monal,Lophophorus sclateri,High,Insufficient Data,Insufficient Data,Very Restricted,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Eastern Himalayas,FALSE,FALSE,TRUE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,,TRUE,FALSE,FALSE,,,,,,,2170,2170,2170,3,,50,33,10,6,,,High,Data Deficient,Data Deficient,Very Restricted
Koklass Pheasant,Pucrasia macrolopha,Low,Insufficient Data,Insufficient Data,Moderate,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,58650,59060,59470,91,18,33,48,12,1,,,Moderate,Data Deficient,Data Deficient,Moderate
Tibetan Partridge,Perdix hodgsoniae,,,,,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident,FALSE,Least Concern,Schedule-I,,,,FALSE,FALSE,FALSE,,,,,,,,,,31,6,28,52,8,2,,,,,,
Mrs Hume's Pheasant,Syrmaticus humiae,,,,,Hume's Pheasant,Syrmaticus humiae,Mrs Hume's Pheasant,Syrmaticus humiae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix I,,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,10,,,,,,,
Cheer Pheasant,Catreus wallichii,High,Insufficient Data,Insufficient Data,Restricted,Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Catreus wallichii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Western Himalayas,FALSE,TRUE,TRUE,Forest,Resident,FALSE,Vulnerable,Schedule-I,Appendix I,,,TRUE,FALSE,FALSE,,,,,,,38010,38510,39010,54,11,25,44,14,2,,,High,Data Deficient,Data Deficient,Restricted
Kalij Pheasant,Lophura leucomelanos,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,,TRUE,TRUE,TRUE,22.6,49.3,86,3.4,6.5,9.5,166570,166890,167210,279,14,42,57,11,1,,,Low,Uncertain,Uncertain,Moderate
Indian Peafowl,Pavo cristatus,Low,Rapid Increase,Rapid Increase,Very Large,Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo cristatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-I,,,,TRUE,TRUE,TRUE,123.6,149.4,181.5,6,7.8,9.7,1707410,1707810,1708210,2546,6,45,65,10,0,,,Low,Strong Increase,Moderate Increase,Very Large
Green Peafowl,Pavo muticus,,,,,Green Peafowl,Pavo muticus,Green Peafowl,Pavo muticus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Uncertain,FALSE,Endangered,Schedule-I,Appendix II,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Red Spurfowl,Galloperdix spadicea,Low,Trend Inconclusive,Stable,Large,Red Spurfowl,Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-45.1,-35.4,-24.5,-2,-0.3,1.3,319970,320510,321050,457,11,43,58,16,1,,,Low,Stable,Uncertain,Large
Painted Spurfowl,Galloperdix lunulata,Low,Stable,Trend Inconclusive,Moderate,Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-25.6,-3.9,26.3,1,3.8,6.6,249140,249720,250300,302,4,26,42,13,1,,,Moderate,Uncertain,Moderate Decline,Moderate
Grey Peacock Pheasant,Polyplectron bicalcaratum,Moderate,Insufficient Data,Insufficient Data,Restricted,Gray Peacock-Pheasant,Polyplectron bicalcaratum,Grey Peacock-pheasant,Polyplectron bicalcaratum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,27240,27710,28180,45,13,27,33,10,2,,,,,,
Mountain Bamboo Partridge,Bambusicola fytchii,,,,,Mountain Bamboo-Partridge,Bambusicola fytchii,Mountain Bamboo-partridge,Bambusicola fytchii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,,FALSE,FALSE,FALSE,,,,,,,,,,33,,27,45,7,2,,,Moderate,Data Deficient,Data Deficient,
Red Junglefowl,Gallus gallus,Low,Trend Inconclusive,Stable,Large,Red Junglefowl,Gallus gallus,Red Junglefowl,Gallus gallus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-30.6,-17.2,-2.9,-1.9,-0.1,1.6,394840,395350,395860,551,9,33,51,10,1,,,Low,Uncertain,Uncertain,Large
Grey Junglefowl,Gallus sonneratii,Low,Trend Inconclusive,Trend Inconclusive,Large,Gray Junglefowl,Gallus sonneratii,Grey Junglefowl,Gallus sonneratii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,,,TRUE,TRUE,TRUE,-38.3,-29.1,-17.6,0.1,1.8,3.4,336960,337320,337680,512,17,51,70,16,1,,,Low,Uncertain,Uncertain,Large
Grey Francolin,Ortygornis pondicerianus,Low,Trend Inconclusive,Increase,Very Large,Gray Francolin,Ortygornis pondicerianus,Grey Francolin,Ortygornis pondicerianus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,17.3,34.1,56.5,1.4,3.4,5.4,1785130,1785510,1785890,2694,6,41,61,9,0,,,Low,Stable,Uncertain,Very Large
Swamp Francolin,Ortygornis gularis,High,Insufficient Data,Insufficient Data,Restricted,Swamp Francolin,Ortygornis gularis,Swamp Francolin,Ortygornis gularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Wetland,Resident,FALSE,Vulnerable,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,32170,32650,33130,44,23,36,64,13,1,,,High,Data Deficient,Data Deficient,Restricted
Chinese Francolin,Francolinus pintadeanus,,,,,Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,1,,100,,4,,,,,,,
Black Francolin,Francolinus francolinus,Low,Trend Inconclusive,Trend Inconclusive,Large,Black Francolin,Francolinus francolinus,Black Francolin,Francolinus francolinus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-39.8,-27.9,-13.6,1,3.4,5.7,363450,364000,364550,485,8,35,54,10,1,,,Low,Uncertain,Uncertain,Large
Painted Francolin,Francolinus pictus,Low,Insufficient Data,Trend Inconclusive,Large,Painted Francolin,Francolinus pictus,Painted Francolin,Francolinus pictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Indian Subcontinent,FALSE,TRUE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,0.1,2.2,4.4,482820,483600,484380,527,5,30,48,11,0,,,Low,Data Deficient,Uncertain,Large
Tibetan Snowcock,Tetraogallus tibetanus,,,,,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident,FALSE,Least Concern,Schedule-I,Appendix I,,,FALSE,FALSE,FALSE,,,,,,,,,,27,4,21,33,9,2,,,,,,
Himalayan Snowcock,Tetraogallus himalayensis,Moderate,Insufficient Data,Insufficient Data,Moderate,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,48360,48980,49600,74,12,22,34,7,1,,,Moderate,Data Deficient,Data Deficient,Moderate
Blue-breasted Quail,Synoicus chinensis,,,,,Blue-breasted Quail,Synoicus chinensis,Asian Blue Quail,Synoicus chinensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,7,43,18,29,14,5,,,,,,
Common Quail,Coturnix coturnix,,,,,Common Quail,Coturnix coturnix,Common Quail,Coturnix coturnix,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",24 hour,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,120,11,18,32,13,1,,,,,,
Japanese Quail,Coturnix japonica,,,,,Japanese Quail,Coturnix japonica,Japanese Quail,Coturnix japonica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Near Threatened,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Rain Quail,Coturnix coromandelica,Moderate,Rapid Decline,Trend Inconclusive,Large,Rain Quail,Coturnix coromandelica,Rain Quail,Coturnix coromandelica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",24 hour,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-84.3,-80.4,-75.7,0,2.5,4.9,331680,332440,333200,399,8,23,35,13,1,,,Moderate,Strong Decline,Strong Increase,Large
Chukar Partridge,Alectoris chukar,Low,Rapid Increase,Trend Inconclusive,Moderate,Chukar,Alectoris chukar,Chukar,Alectoris chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,82.4,134.4,202.1,1.5,4.5,7.6,112310,112680,113050,184,7,36,55,9,1,,,Low,Data Deficient,Uncertain,Moderate
Jungle Bush Quail,Perdicula asiatica,Low,Decline,Stable,Large,Jungle Bush-Quail,Perdicula asiatica,Jungle Bush-quail,Perdicula asiatica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-54.3,-45.5,-35.1,-0.5,1.5,3.5,604560,605260,605960,739,7,29,44,13,0,,,Moderate,Moderate Decline,Moderate Decline,Large
Rock Bush Quail,Perdicula argoondah,Moderate,Insufficient Data,Insufficient Data,Large,Rock Bush-Quail,Perdicula argoondah,Rock Bush-quail,Perdicula argoondah,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Mainland India,TRUE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,375440,376230,377020,390,4,24,43,11,1,,,Low,Data Deficient,Uncertain,Large
Painted Bush Quail,Perdicula erythrorhyncha,Moderate,Insufficient Data,Insufficient Data,Restricted,Painted Bush-Quail,Perdicula erythrorhyncha,Painted Bush-quail,Perdicula erythrorhyncha,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Mainland India,TRUE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,39660,40030,40400,64,16,32,38,22,1,,,Moderate,Data Deficient,Data Deficient,Restricted
Manipur Bush Quail,Perdicula manipurensis,High,Insufficient Data,Insufficient Data,Historical,Manipur Bush-Quail,Perdicula manipurensis,Manipur Bush-quail,Perdicula manipurensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Assam Plains,TRUE,TRUE,FALSE,Grassland,Uncertain,FALSE,Endangered,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,0,0,0,,,,,,,,,High,Data Deficient,Data Deficient,Data Deficient
Himalayan Quail,Ophrysia superciliosa,High,Insufficient Data,Insufficient Data,Historical,Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Western Himalayas,TRUE,TRUE,TRUE,Grassland,Uncertain,FALSE,Critically Endangered,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,0,0,0,,,,,,,,,High,Data Deficient,Data Deficient,Data Deficient
Greater Flamingo,Phoenicopterus roseus,High,Rapid Decline,Rapid Decline,Large,Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),24 hour,24 hour,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-75,-71.2,-66.3,-8.4,-7.2,-5.9,273440,273930,274420,502,14,32,36,11,1,,,Low,Uncertain,Uncertain,Moderate
Lesser Flamingo,Phoeniconaias minor,Moderate,Insufficient Data,Decline,Moderate,Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos),24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Within-India Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,3900,TRUE,FALSE,TRUE,,,,-6.7,-4.9,-3.1,70370,70820,71270,132,13,34,45,12,1,,,Moderate,Data Deficient,Uncertain,Restricted
Little Grebe,Tachybaptus ruficollis,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Little Grebe,Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,Podicipediformes,Podicipedidae (Grebes),24 hour,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,10000,TRUE,TRUE,TRUE,-25.4,-16.4,-5,-2.7,-1.5,-0.3,1838180,1838680,1839180,2564,8,39,57,10,0,,,Low,Stable,Strong Decline,Very Large
Horned Grebe,Podiceps auritus,,,,,Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,Podicipediformes,Podicipedidae (Grebes),Diurnal,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Vulnerable,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Red-necked Grebe,Podiceps grisegena,,,,,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Podicipediformes,Podicipedidae (Grebes),24 hour,24 hour,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,14,18,,,,,,
Great Crested Grebe,Podiceps cristatus,High,Rapid Decline,Decline,Moderate,Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,Podicipediformes,Podicipedidae (Grebes),Diurnal,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,,,250,TRUE,TRUE,TRUE,-76.3,-72.2,-66.8,-5.4,-3.9,-2.4,229180,229710,230240,378,10,27,40,11,1,,,Low,Uncertain,Uncertain,Moderate
Black-necked Grebe,Podiceps nigricollis,,,,,Eared Grebe,Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,40,18,21,28,12,2,,,,,,
Rock Pigeon,Columba livia,Low,Rapid Increase,Increase,Very Large,Rock Pigeon,Columba livia,Rock Dove,Columba livia,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Not protected,,,,TRUE,TRUE,TRUE,130,158.5,190.7,1.3,2.8,4.3,2457930,2458220,2458510,3900,7,47,68,9,0,,,Low,Strong Increase,Strong Increase,Very Large
Hill Pigeon,Columba rupestris,Low,Insufficient Data,Insufficient Data,Moderate,Hill Pigeon,Columba rupestris,Hill Pigeon,Columba rupestris,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,66250,66520,66790,121,14,40,64,6,1,,,Low,Data Deficient,Uncertain,Moderate
Snow Pigeon,Columba leuconota,Moderate,Decline,Stable,Moderate,Snow Pigeon,Columba leuconota,Snow Pigeon,Columba leuconota,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-65.9,-58.4,-49.2,-4.1,-2.1,0,104460,104890,105320,169,11,29,41,9,1,,,Low,Data Deficient,Uncertain,Moderate
Yellow-eyed Pigeon,Columba eversmanni,High,Insufficient Data,Insufficient Data,Restricted,Yellow-eyed Pigeon,Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Vulnerable,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,12260,12730,13200,18,,28,39,11,3,,,High,Data Deficient,Data Deficient,Restricted
Common Wood Pigeon,Columba palumbus,Moderate,Insufficient Data,Insufficient Data,Restricted,Common Wood-Pigeon,Columba palumbus,Common Woodpigeon,Columba palumbus,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Local Migrant & Winter Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,24110,24110,24110,53,9,21,47,15,2,,,,,,
Speckled Wood Pigeon,Columba hodgsonii,Moderate,Insufficient Data,Decline,Moderate,Speckled Wood-Pigeon,Columba hodgsonii,Speckled Woodpigeon,Columba hodgsonii,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-8.2,-5.7,-3.1,78930,79600,80270,98,11,28,41,12,1,30,,Low,Data Deficient,Uncertain,Moderate
Ashy Wood Pigeon,Columba pulchricollis,Moderate,Insufficient Data,Insufficient Data,Restricted,Ashy Wood-Pigeon,Columba pulchricollis,Ashy Woodpigeon,Columba pulchricollis,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,20870,20970,21070,38,8,26,45,13,2,,,Moderate,Data Deficient,Data Deficient,Restricted
Nilgiri Wood Pigeon,Columba elphinstonii,Moderate,Decline,Stable,Moderate,Nilgiri Wood-Pigeon,Columba elphinstonii,Nilgiri Woodpigeon,Columba elphinstonii,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Fruit & Nect,Western Ghats,TRUE,TRUE,FALSE,Forest,Resident & Local Migrant,FALSE,Vulnerable,Schedule-I,,,,TRUE,TRUE,TRUE,-57.3,-46.4,-32.5,-3.9,-1.9,0.2,75710,76050,76390,149,15,40,56,20,1,,,Moderate,Uncertain,Uncertain,Moderate
Pale-capped Pigeon,Columba punicea,High,Insufficient Data,Insufficient Data,Restricted,Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Columba punicea,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Vulnerable,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,18600,19200,19800,28,14,22,39,12,2,,,High,Data Deficient,Data Deficient,Restricted
Andaman Wood Pigeon,Columba palumboides,Moderate,Insufficient Data,Insufficient Data,Restricted,Andaman Wood-Pigeon,Columba palumboides,Andaman Woodpigeon,Columba palumboides,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Fruit & Nect,Andaman and Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Near Threatened,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,5810,5890,5970,27,7,31,67,7,2,,,Moderate,Data Deficient,Data Deficient,Restricted
European Turtle Dove,Streptopelia turtur,,,,,European Turtle-Dove,Streptopelia turtur,European Turtle-dove,Streptopelia turtur,Columbiformes,Columbidae (Pigeons and Doves),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Vulnerable,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,1,100,,,14,,,,,,,
